Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0402_1005Metric,54.61,-28.956,-45,top
C2,0.1uF,C_0402_1005Metric,107.6544,-25.4854,135,top
C3,0.1uF,C_0402_1005Metric,54.61,-34.956,-45,top
C4,0.1uF,C_0402_1005Metric,107.6544,-31.4854,135,top
C5,0.1uF,C_0402_1005Metric,54.61,-40.956,-45,top
C6,0.1uF,C_0402_1005Metric,107.6544,-37.4854,135,top
C7,0.1uF,C_0402_1005Metric,54.61,-46.956,-45,top
C8,0.1uF,C_0402_1005Metric,107.6544,-43.4854,135,top
C9,0.1uF,C_0402_1005Metric,54.61,-52.956,-45,top
C10,0.1uF,C_0402_1005Metric,107.6544,-49.4854,135,top
C11,0.1uF,C_0402_1005Metric,54.61,-58.956,-45,top
C12,0.1uF,C_0402_1005Metric,107.6544,-55.4854,135,top
C13,0.1uF,C_0402_1005Metric,54.61,-64.956,-45,top
C14,0.1uF,C_0402_1005Metric,107.6544,-61.4854,135,top
C15,0.1uF,C_0402_1005Metric,54.61,-70.956,-45,top
C16,0.1uF,C_0402_1005Metric,107.6544,-67.4854,135,top
C17,0.1uF,C_0402_1005Metric,54.61,-76.956,-45,top
C18,0.1uF,C_0402_1005Metric,107.6544,-73.4854,135,top
C19,0.1uF,C_0402_1005Metric,54.61,-82.956,-45,top
C20,0.1uF,C_0402_1005Metric,107.6544,-79.4854,135,top
C21,0.1uF,C_0402_1005Metric,54.61,-88.956,-45,top
C22,0.1uF,C_0402_1005Metric,107.6544,-85.4854,135,top
C23,0.1uF,C_0402_1005Metric,54.61,-94.956,-45,top
C24,0.1uF,C_0402_1005Metric,107.6544,-91.4854,135,top
C25,0.1uF,C_0402_1005Metric,54.61,-100.956,-45,top
D1,LED,LED_0402_1005Metric,60.452,-20.701,180,top
D2,LED,LED_0402_1005Metric,65.024,-20.701,180,top
D3,LED,LED_0402_1005Metric,69.596,-20.701,180,top
D4,LED,LED_0402_1005Metric,74.168,-20.701,180,top
D5,LED,LED_0402_1005Metric,78.74,-20.701,180,top
D6,LED,LED_0402_1005Metric,83.312,-20.701,180,top
D7,LED,LED_0402_1005Metric,87.884,-20.701,180,top
D8,LED,LED_0402_1005Metric,92.456,-20.701,180,top
D9,LED,LED_0402_1005Metric,97.028,-20.701,180,top
D10,LED,LED_0402_1005Metric,101.6,-20.701,180,top
D11,LED,LED_0402_1005Metric,60.452,-25.273,180,top
